factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,68,9.19197,s_curve_standard_pd,0.236325,0.00360506,23.7646,8.52401,0.000223576,0.0144592,-63.6138,-85.8006
sensor_noise_frequency_hz,68,9.19197,fourth_standard_pd,0.0802511,0.00131017,21.7547,8.88086,0.000219424,0.0144589,-63.5715,-85.8007
sensor_noise_frequency_hz,69,0.732279,s_curve_standard_pd,0.602521,0.0139169,23.6071,8.45364,0.0146699,0.555357,-25.8771,-53.7504
sensor_noise_frequency_hz,69,0.732279,fourth_standard_pd,0.564067,0.0137072,21.459,8.8111,0.0148528,0.557411,-25.7628,-53.7503
sensor_noise_frequency_hz,70,28.8098,s_curve_standard_pd,0.235861,0.00359793,23.7527,8.52492,1.89309e-05,0.00120103,-85.0222,-107.06
sensor_noise_frequency_hz,70,28.8098,fourth_standard_pd,0.0789131,0.00128971,21.772,8.88189,1.83926e-05,0.00120103,-84.9685,-107.06
sensor_noise_frequency_hz,71,0.335343,s_curve_standard_pd,5.23483,0.0831121,23.2434,8.40689,0.0889694,4.93505,-12.7393,-34.3525
sensor_noise_frequency_hz,71,0.335343,fourth_standard_pd,5.25584,0.0833545,21.4463,8.76765,0.0885742,4.98215,-12.7225,-34.2944
sensor_noise_frequency_hz,72,5.01168,s_curve_standard_pd,0.241474,0.00368861,23.759,8.52121,0.000677272,0.0515044,-52.8901,-75.1458
sensor_noise_frequency_hz,72,5.01168,fourth_standard_pd,0.0942111,0.00153699,21.7307,8.87807,0.000677466,0.0515061,-52.8461,-75.1456
sensor_noise_frequency_hz,73,42.7443,s_curve_standard_pd,0.235851,0.0035978,23.6656,8.525,4.58167e-06,0.000286197,-98.3562,-120.431
sensor_noise_frequency_hz,73,42.7443,fourth_standard_pd,0.0788871,0.0012894,21.7458,8.88199,4.36881e-06,0.000286197,-98.3277,-120.431
sensor_noise_frequency_hz,74,40.6127,s_curve_standard_pd,0.235853,0.00359782,23.7395,8.52502,6.03461e-06,0.000381566,-95.3279,-117.371
sensor_noise_frequency_hz,74,40.6127,fourth_standard_pd,0.0788917,0.00128945,21.7808,8.88201,5.86845e-06,0.000381566,-95.2896,-117.371
sensor_noise_frequency_hz,75,0.184263,s_curve_standard_pd,1.90758,0.106678,20.9778,8.0962,0.705612,1.9365,1.9378,-43.0822
sensor_noise_frequency_hz,75,0.184263,fourth_standard_pd,1.8835,0.106856,19.8119,8.48287,0.779914,1.95353,1.90993,-42.9328
sensor_noise_frequency_hz,76,0.391389,s_curve_standard_pd,11.2117,0.160932,23.2619,8.36486,0.105826,11.3069,-14.4061,-27.6225
sensor_noise_frequency_hz,76,0.391389,fourth_standard_pd,11.1844,0.160523,21.2316,8.71384,0.10577,11.2569,-14.5642,-27.6826
sensor_noise_frequency_hz,77,16.366,s_curve_standard_pd,0.235907,0.00359856,23.7505,8.52472,6.78751e-05,0.0043471,-74.0806,-96.055
sensor_noise_frequency_hz,77,16.366,fourth_standard_pd,0.0790485,0.00129117,21.7501,8.88163,6.61154e-05,0.00434704,-73.9794,-96.0551
sensor_noise_frequency_hz,78,2.42872,s_curve_standard_pd,0.375536,0.00577302,23.7038,8.50139,0.00361185,0.292167,-37.8461,-59.7142
sensor_noise_frequency_hz,78,2.42872,fourth_standard_pd,0.303005,0.00477434,21.6953,8.85856,0.00362515,0.292132,-37.7556,-59.7152
sensor_noise_frequency_hz,79,0.171177,s_curve_standard_pd,1.69374,0.1146,21.7267,8.01492,0.704075,1.64989,1.51732,-45.5946
sensor_noise_frequency_hz,79,0.171177,fourth_standard_pd,1.68528,0.114526,19.5769,8.38363,0.779588,1.65316,1.51464,-45.8296
sensor_noise_frequency_hz,80,6.79102,s_curve_standard_pd,0.237454,0.00362341,23.7554,8.52305,0.000362072,0.027102,-57.8232,-80.0235
sensor_noise_frequency_hz,80,6.79102,fourth_standard_pd,0.083482,0.00136305,21.7499,8.87987,0.00036441,0.0271012,-57.7756,-80.0237
sensor_noise_frequency_hz,81,37.3457,s_curve_standard_pd,0.235855,0.00359786,23.7652,8.52501,8.63469e-06,0.000547433,-92.0133,-114.025
sensor_noise_frequency_hz,81,37.3457,fourth_standard_pd,0.0788948,0.00128951,21.7587,8.88199,8.38029e-06,0.000547433,-91.9443,-114.025
sensor_noise_frequency_hz,82,0.430271,s_curve_standard_pd,13.9158,0.202308,21.3167,7.83175,0.124285,13.0395,-7.57682,-26.1956
sensor_noise_frequency_hz,82,0.430271,fourth_standard_pd,13.9497,0.202802,19.8188,8.21372,0.122851,12.9823,-7.7137,-26.2239
sensor_noise_frequency_hz,83,21.7399,s_curve_standard_pd,0.235872,0.00359812,23.7674,8.52485,3.69311e-05,0.00234582,-79.4633,-101.545
sensor_noise_frequency_hz,83,21.7399,fourth_standard_pd,0.0789474,0.00129012,21.7507,8.88179,3.59074e-05,0.00234581,-79.4688,-101.545
sensor_noise_frequency_hz,84,4.3586,s_curve_standard_pd,0.246059,0.00376182,23.7591,8.52003,0.000912058,0.0697501,-49.989,-72.1695
sensor_noise_frequency_hz,84,4.3586,fourth_standard_pd,0.10546,0.00171736,21.7526,8.87681,0.000912339,0.0697458,-49.9381,-72.17
sensor_noise_frequency_hz,85,1.91298,s_curve_standard_pd,0.718823,0.0109156,23.5992,8.45911,0.00785415,0.678816,-30.9495,-52.188
sensor_noise_frequency_hz,85,1.91298,fourth_standard_pd,0.68293,0.0104487,21.5753,8.81809,0.0078412,0.678897,-30.9507,-52.1872
sensor_noise_frequency_hz,86,4.21428,s_curve_standard_pd,0.247628,0.00378723,23.7674,8.51957,0.000981377,0.0751202,-49.5908,-71.6689
sensor_noise_frequency_hz,86,4.21428,fourth_standard_pd,0.108862,0.00177253,21.7425,8.87642,0.000983639,0.0751215,-49.5283,-71.6688
sensor_noise_frequency_hz,87,0.104315,s_curve_standard_pd,0.853048,0.166188,19.394,7.82605,3.66044,1.36304,24.2203,-44.9439
sensor_noise_frequency_hz,87,0.104315,fourth_standard_pd,0.825185,0.166087,18.3449,8.27552,3.64468,1.7065,24.1406,-43.5441
sensor_noise_frequency_hz,88,1.53331,s_curve_standard_pd,3.0592,0.0448249,20.7544,7.8766,0.0305509,3.03329,-19.878,-39.8693
sensor_noise_frequency_hz,88,1.53331,fourth_standard_pd,3.05255,0.0447614,18.7995,8.26057,0.0303122,3.03326,-19.9379,-39.8698
sensor_noise_frequency_hz,89,3.83531,s_curve_standard_pd,0.253438,0.0038796,23.7536,8.51801,0.00120686,0.0927508,-48.2078,-70.4655
sensor_noise_frequency_hz,89,3.83531,fourth_standard_pd,0.122067,0.00198311,21.7596,8.87489,0.00120676,0.0927542,-48.171,-70.4653
