frequency_hz,controller,L_real,L_imag
0.022302,avc,-9.024535e+00,-4.179061e+00
0.022509,standard_pd,-8.767125e+00,-4.144100e+00
0.022509,filtered_pd,-8.785781e+00,-4.144016e+00
0.022509,avc,-8.859730e+00,-4.140664e+00
0.022717,standard_pd,-8.606854e+00,-4.106024e+00
0.022717,filtered_pd,-8.625509e+00,-4.105939e+00
0.022717,avc,-8.697936e+00,-4.102619e+00
0.022928,standard_pd,-8.449511e+00,-4.068297e+00
0.022928,filtered_pd,-8.468166e+00,-4.068211e+00
0.022928,avc,-8.539098e+00,-4.064922e+00
0.023140,standard_pd,-8.295042e+00,-4.030915e+00
0.023140,filtered_pd,-8.313697e+00,-4.030829e+00
0.023140,avc,-8.383162e+00,-4.027572e+00
0.023354,standard_pd,-8.143396e+00,-3.993877e+00
0.023354,filtered_pd,-8.162050e+00,-3.993790e+00
0.023354,avc,-8.230075e+00,-3.990563e+00
0.023571,standard_pd,-7.994520e+00,-3.957178e+00
0.023571,filtered_pd,-8.013174e+00,-3.957090e+00
0.023571,avc,-8.079785e+00,-3.953894e+00
0.023789,standard_pd,-7.848364e+00,-3.920815e+00
0.023789,filtered_pd,-7.867018e+00,-3.920726e+00
0.023789,avc,-7.932241e+00,-3.917561e+00
0.024009,standard_pd,-7.704878e+00,-3.884785e+00
0.024009,filtered_pd,-7.723532e+00,-3.884696e+00
0.024009,avc,-7.787392e+00,-3.881560e+00
0.024232,standard_pd,-7.564014e+00,-3.849086e+00
0.024232,filtered_pd,-7.582668e+00,-3.848996e+00
0.024232,avc,-7.645190e+00,-3.845890e+00
0.024456,standard_pd,-7.425724e+00,-3.813714e+00
0.024456,filtered_pd,-7.444377e+00,-3.813623e+00
0.024456,avc,-7.505586e+00,-3.810547e+00
0.024683,standard_pd,-7.289960e+00,-3.778666e+00
0.024683,filtered_pd,-7.308613e+00,-3.778574e+00
0.024683,avc,-7.368532e+00,-3.775527e+00
0.024911,standard_pd,-7.156676e+00,-3.743939e+00
0.024911,filtered_pd,-7.175329e+00,-3.743846e+00
0.024911,avc,-7.233982e+00,-3.740829e+00
0.025142,standard_pd,-7.025828e+00,-3.709531e+00
0.025142,filtered_pd,-7.044480e+00,-3.709437e+00
0.025142,avc,-7.101891e+00,-3.706448e+00
0.025375,standard_pd,-6.897370e+00,-3.675437e+00
0.025375,filtered_pd,-6.916022e+00,-3.675343e+00
0.025375,avc,-6.972213e+00,-3.672382e+00
0.025610,standard_pd,-6.771259e+00,-3.641656e+00
0.025610,filtered_pd,-6.789911e+00,-3.641561e+00
0.025610,avc,-6.844904e+00,-3.638629e+00
0.025847,standard_pd,-6.647452e+00,-3.608185e+00
0.025847,filtered_pd,-6.666104e+00,-3.608089e+00
0.025847,avc,-6.719921e+00,-3.605185e+00
0.026087,standard_pd,-6.525907e+00,-3.575020e+00
0.026087,filtered_pd,-6.544559e+00,-3.574923e+00
0.026087,avc,-6.597221e+00,-3.572047e+00
0.026328,standard_pd,-6.406583e+00,-3.542160e+00
0.026328,filtered_pd,-6.425234e+00,-3.542062e+00
0.026328,avc,-6.476763e+00,-3.539213e+00
0.026572,standard_pd,-6.289439e+00,-3.509600e+00
0.026572,filtered_pd,-6.308090e+00,-3.509501e+00
0.026572,avc,-6.358506e+00,-3.506680e+00
0.026818,standard_pd,-6.174435e+00,-3.477339e+00
0.026818,filtered_pd,-6.193086e+00,-3.477239e+00
0.026818,avc,-6.242410e+00,-3.474445e+00
0.027067,standard_pd,-6.061532e+00,-3.445373e+00
0.027067,filtered_pd,-6.080182e+00,-3.445272e+00
0.027067,avc,-6.128434e+00,-3.442505e+00
0.027317,standard_pd,-5.950692e+00,-3.413700e+00
0.027317,filtered_pd,-5.969342e+00,-3.413598e+00
0.027317,avc,-6.016541e+00,-3.410857e+00
0.027570,standard_pd,-5.841877e+00,-3.382317e+00
0.027570,filtered_pd,-5.860527e+00,-3.382214e+00
0.027570,avc,-5.906692e+00,-3.379500e+00
0.027826,standard_pd,-5.735050e+00,-3.351222e+00
0.027826,filtered_pd,-5.753699e+00,-3.351118e+00
0.027826,avc,-5.798850e+00,-3.348430e+00
0.028083,standard_pd,-5.630175e+00,-3.320412e+00
0.028083,filtered_pd,-5.648824e+00,-3.320307e+00
0.028083,avc,-5.692979e+00,-3.317645e+00
0.028343,standard_pd,-5.527215e+00,-3.289883e+00
0.028343,filtered_pd,-5.545864e+00,-3.289778e+00
0.028343,avc,-5.589041e+00,-3.287141e+00
0.028606,standard_pd,-5.426137e+00,-3.259635e+00
0.028606,filtered_pd,-5.444786e+00,-3.259528e+00
0.028606,avc,-5.487003e+00,-3.256917e+00
0.028871,standard_pd,-5.326906e+00,-3.229663e+00
0.028871,filtered_pd,-5.345554e+00,-3.229556e+00
0.028871,avc,-5.386829e+00,-3.226970e+00
0.029138,standard_pd,-5.229487e+00,-3.199966e+00
0.029138,filtered_pd,-5.248135e+00,-3.199858e+00
0.029138,avc,-5.288484e+00,-3.197297e+00
0.029408,standard_pd,-5.133849e+00,-3.170541e+00
0.029408,filtered_pd,-5.152496e+00,-3.170432e+00
0.029408,avc,-5.191937e+00,-3.167896e+00
0.029681,standard_pd,-5.039957e+00,-3.141386e+00
0.029681,filtered_pd,-5.058604e+00,-3.141275e+00
0.029681,avc,-5.097154e+00,-3.138764e+00
0.029955,standard_pd,-4.947781e+00,-3.112497e+00
0.029955,filtered_pd,-4.966428e+00,-3.112386e+00
0.029955,avc,-5.004102e+00,-3.109898e+00
0.030233,standard_pd,-4.857289e+00,-3.083873e+00
0.030233,filtered_pd,-4.875935e+00,-3.083761e+00
0.030233,avc,-4.912750e+00,-3.081298e+00
0.030513,standard_pd,-4.768451e+00,-3.055511e+00
0.030513,filtered_pd,-4.787096e+00,-3.055398e+00
0.030513,avc,-4.823067e+00,-3.052959e+00
0.030796,standard_pd,-4.681235e+00,-3.027409e+00
0.030796,filtered_pd,-4.699880e+00,-3.027295e+00
0.030796,avc,-4.735023e+00,-3.024879e+00
0.031081,standard_pd,-4.595613e+00,-2.999564e+00
0.031081,filtered_pd,-4.614258e+00,-2.999449e+00
0.031081,avc,-4.648587e+00,-2.997057e+00
0.031369,standard_pd,-4.511555e+00,-2.971975e+00
0.031369,filtered_pd,-4.530199e+00,-2.971858e+00
0.031369,avc,-4.563731e+00,-2.969489e+00
0.031659,standard_pd,-4.429033e+00,-2.944637e+00
0.031659,filtered_pd,-4.447677e+00,-2.944519e+00
0.031659,avc,-4.480425e+00,-2.942174e+00
0.031952,standard_pd,-4.348018e+00,-2.917550e+00
