frequency_hz,controller,S_mag_db,T_mag_db
0.021694,filtered_pd,-19.5431,0.7883
0.021694,avc,-19.6071,0.7841
0.021895,standard_pd,-19.3691,0.8017
0.021895,filtered_pd,-19.3846,0.8006
0.021895,avc,-19.4482,0.7965
0.022098,standard_pd,-19.2104,0.8142
0.022098,filtered_pd,-19.2261,0.8132
0.022098,avc,-19.2894,0.8090
0.022302,standard_pd,-19.0517,0.8270
0.022302,filtered_pd,-19.0677,0.8259
0.022302,avc,-19.1306,0.8217
0.022509,standard_pd,-18.8931,0.8398
0.022509,filtered_pd,-18.9093,0.8387
0.022509,avc,-18.9719,0.8345
0.022717,standard_pd,-18.7346,0.8528
0.022717,filtered_pd,-18.7510,0.8517
0.022717,avc,-18.8133,0.8475
0.022928,standard_pd,-18.5761,0.8660
0.022928,filtered_pd,-18.5928,0.8648
0.022928,avc,-18.6547,0.8606
0.023140,standard_pd,-18.4177,0.8793
0.023140,filtered_pd,-18.4347,0.8781
0.023140,avc,-18.4962,0.8739
0.023354,standard_pd,-18.2594,0.8928
0.023354,filtered_pd,-18.2766,0.8916
0.023354,avc,-18.3378,0.8874
0.023571,standard_pd,-18.1012,0.9064
0.023571,filtered_pd,-18.1186,0.9052
0.023571,avc,-18.1794,0.9010
0.023789,standard_pd,-17.9430,0.9202
0.023789,filtered_pd,-17.9607,0.9189
0.023789,avc,-18.0211,0.9147
0.024009,standard_pd,-17.7849,0.9341
0.024009,filtered_pd,-17.8029,0.9328
0.024009,avc,-17.8629,0.9286
0.024232,standard_pd,-17.6269,0.9482
0.024232,filtered_pd,-17.6452,0.9469
0.024232,avc,-17.7048,0.9427
0.024456,standard_pd,-17.4690,0.9624
0.024456,filtered_pd,-17.4876,0.9611
0.024456,avc,-17.5468,0.9569
0.024683,standard_pd,-17.3112,0.9768
0.024683,filtered_pd,-17.3301,0.9754
0.024683,avc,-17.3888,0.9712
0.024911,standard_pd,-17.1535,0.9913
0.024911,filtered_pd,-17.1726,0.9899
0.024911,avc,-17.2310,0.9858
0.025142,standard_pd,-16.9959,1.0060
0.025142,filtered_pd,-17.0153,1.0045
0.025142,avc,-17.0732,1.0004
0.025375,standard_pd,-16.8384,1.0208
0.025375,filtered_pd,-16.8581,1.0193
0.025375,avc,-16.9156,1.0152
0.025610,standard_pd,-16.6810,1.0358
0.025610,filtered_pd,-16.7010,1.0342
0.025610,avc,-16.7580,1.0302
0.025847,standard_pd,-16.5237,1.0508
0.025847,filtered_pd,-16.5440,1.0493
0.025847,avc,-16.6006,1.0453
0.026087,standard_pd,-16.3665,1.0661
0.026087,filtered_pd,-16.3871,1.0645
0.026087,avc,-16.4432,1.0605
0.026328,standard_pd,-16.2095,1.0815
0.026328,filtered_pd,-16.2304,1.0799
0.026328,avc,-16.2860,1.0759
0.026572,standard_pd,-16.0526,1.0970
0.026572,filtered_pd,-16.0737,1.0954
0.026572,avc,-16.1289,1.0914
0.026818,standard_pd,-15.8958,1.1126
0.026818,filtered_pd,-15.9172,1.1110
0.026818,avc,-15.9720,1.1071
0.027067,standard_pd,-15.7391,1.1284
0.027067,filtered_pd,-15.7609,1.1267
0.027067,avc,-15.8151,1.1229
0.027317,standard_pd,-15.5826,1.1443
0.027317,filtered_pd,-15.6047,1.1426
0.027317,avc,-15.6584,1.1388
0.027570,standard_pd,-15.4262,1.1603
0.027570,filtered_pd,-15.4486,1.1586
0.027570,avc,-15.5019,1.1549
0.027826,standard_pd,-15.2700,1.1765
0.027826,filtered_pd,-15.2927,1.1748
0.027826,avc,-15.3455,1.1711
0.028083,standard_pd,-15.1140,1.1927
0.028083,filtered_pd,-15.1370,1.1910
0.028083,avc,-15.1892,1.1874
0.028343,standard_pd,-14.9581,1.2091
0.028343,filtered_pd,-14.9814,1.2074
0.028343,avc,-15.0331,1.2038
0.028606,standard_pd,-14.8024,1.2256
0.028606,filtered_pd,-14.8260,1.2239
0.028606,avc,-14.8771,1.2204
0.028871,standard_pd,-14.6468,1.2423
0.028871,filtered_pd,-14.6707,1.2405
0.028871,avc,-14.7214,1.2370
0.029138,standard_pd,-14.4914,1.2590
0.029138,filtered_pd,-14.5157,1.2572
0.029138,avc,-14.5658,1.2538
0.029408,standard_pd,-14.3363,1.2758
0.029408,filtered_pd,-14.3608,1.2740
0.029408,avc,-14.4103,1.2707
0.029681,standard_pd,-14.1813,1.2927
0.029681,filtered_pd,-14.2061,1.2909
0.029681,avc,-14.2551,1.2877
0.029955,standard_pd,-14.0265,1.3097
0.029955,filtered_pd,-14.0517,1.3079
0.029955,avc,-14.1001,1.3048
0.030233,standard_pd,-13.8719,1.3268
0.030233,filtered_pd,-13.8974,1.3250
0.030233,avc,-13.9452,1.3220
0.030513,standard_pd,-13.7176,1.3440
0.030513,filtered_pd,-13.7434,1.3422
0.030513,avc,-13.7906,1.3393
0.030796,standard_pd,-13.5635,1.3612
0.030796,filtered_pd,-13.5896,1.3594
0.030796,avc,-13.6362,1.3566
0.031081,standard_pd,-13.4096,1.3786
0.031081,filtered_pd,-13.4360,1.3767
0.031081,avc,-13.4820,1.3741
0.031369,standard_pd,-13.2559,1.3960
0.031369,filtered_pd,-13.2826,1.3941
0.031369,avc,-13.3280,1.3916
0.031659,standard_pd,-13.1025,1.4134
0.031659,filtered_pd,-13.1295,1.4116
0.031659,avc,-13.1743,1.4091
0.031952,standard_pd,-12.9494,1.4309
0.031952,filtered_pd,-12.9767,1.4291
0.031952,avc,-13.0208,1.4268
0.032248,standard_pd,-12.7965,1.4484
0.032248,filtered_pd,-12.8241,1.4467
0.032248,avc,-12.8676,1.4445
0.032547,standard_pd,-12.6439,1.4660
0.032547,filtered_pd,-12.6718,1.4643
0.032547,avc,-12.7147,1.4622
0.032849,standard_pd,-12.4916,1.4836
0.032849,filtered_pd,-12.5198,1.4819
0.032849,avc,-12.5620,1.4800
0.033153,standard_pd,-12.3396,1.5013
0.033153,filtered_pd,-12.3681,1.4996
0.033153,avc,-12.4096,1.4978
0.033460,standard_pd,-12.1879,1.5189
0.033460,filtered_pd,-12.2167,1.5173
0.033460,avc,-12.2576,1.5156
0.033770,standard_pd,-12.0365,1.5365
0.033770,filtered_pd,-12.0656,1.5350
0.033770,avc,-12.1058,1.5334
0.034083,standard_pd,-11.8854,1.5542
0.034083,filtered_pd,-11.9148,1.5527
0.034083,avc,-11.9543,1.5513
0.034398,standard_pd,-11.7347,1.5718
0.034398,filtered_pd,-11.7644,1.5703
0.034398,avc,-11.8032,1.5691
0.034717,standard_pd,-11.5843,1.5894
0.034717,filtered_pd,-11.6143,1.5880
0.034717,avc,-11.6524,1.5870
0.035038,standard_pd,-11.4343,1.6070
0.035038,filtered_pd,-11.4646,1.6057
0.035038,avc,-11.5020,1.6048
0.035363,standard_pd,-11.2847,1.6245
0.035363,filtered_pd,-11.3152,1.6233
0.035363,avc,-11.3519,1.6225
0.035690,standard_pd,-11.1355,1.6420
0.035690,filtered_pd,-11.1662,1.6408
0.035690,avc,-11.2022,1.6403
0.036021,standard_pd,-10.9867,1.6594
0.036021,filtered_pd,-11.0176,1.6583
0.036021,avc,-11.0529,1.6580
0.036355,standard_pd,-10.8382,1.6767
0.036355,filtered_pd,-10.8695,1.6758
0.036355,avc,-10.9040,1.6756
0.036691,standard_pd,-10.6902,1.6939
0.036691,filtered_pd,-10.7217,1.6931
0.036691,avc,-10.7555,1.6931
0.037031,standard_pd,-10.5427,1.7111
0.037031,filtered_pd,-10.5744,1.7104
0.037031,avc,-10.6074,1.7106
0.037374,standard_pd,-10.3956,1.7281
0.037374,filtered_pd,-10.4275,1.7275
0.037374,avc,-10.4598,1.7279
0.037720,standard_pd,-10.2490,1.7450
0.037720,filtered_pd,-10.2811,1.7446
0.037720,avc,-10.3126,1.7452
0.038070,standard_pd,-10.1029,1.7617
0.038070,filtered_pd,-10.1352,1.7615
0.038070,avc,-10.1659,1.7623
0.038422,standard_pd,-9.9572,1.7783
0.038422,filtered_pd,-9.9897,1.7782
0.038422,avc,-10.0197,1.7793
0.038778,standard_pd,-9.8121,1.7948
0.038778,filtered_pd,-9.8448,1.7948
0.038778,avc,-9.8739,1.7961
0.039137,standard_pd,-9.6675,1.8110
0.039137,filtered_pd,-9.7004,1.8113
0.039137,avc,-9.7287,1.8127
0.039500,standard_pd,-9.5235,1.8270
0.039500,filtered_pd,-9.5565,1.8275
0.039500,avc,-9.5841,1.8292
0.039866,standard_pd,-9.3800,1.8429
0.039866,filtered_pd,-9.4132,1.8436
0.039866,avc,-9.4400,1.8455
0.040235,standard_pd,-9.2372,1.8585
0.040235,filtered_pd,-9.2704,1.8594
0.040235,avc,-9.2964,1.8615
0.040608,standard_pd,-9.0949,1.8738
0.040608,filtered_pd,-9.1283,1.8750
0.040608,avc,-9.1534,1.8773
0.040984,standard_pd,-8.9532,1.8889
0.040984,filtered_pd,-8.9867,1.8904
0.040984,avc,-9.0111,1.8929
0.041363,standard_pd,-8.8122,1.9037
0.041363,filtered_pd,-8.8458,1.9054
0.041363,avc,-8.8693,1.9082
0.041747,standard_pd,-8.6719,1.9182
0.041747,filtered_pd,-8.7055,1.9202
0.041747,avc,-8.7282,1.9233
0.042133,standard_pd,-8.5322,1.9324
0.042133,filtered_pd,-8.5658,1.9347
0.042133,avc,-8.5877,1.9380
0.042523,standard_pd,-8.3932,1.9462
0.042523,filtered_pd,-8.4268,1.9489
0.042523,avc,-8.4479,1.9524
0.042917,standard_pd,-8.2549,1.9597
0.042917,filtered_pd,-8.2886,1.9628
0.042917,avc,-8.3088,1.9665
0.043315,standard_pd,-8.1173,1.9728
0.043315,filtered_pd,-8.1510,1.9763
0.043315,avc,-8.1705,1.9802
0.043716,standard_pd,-7.9805,1.9855
0.043716,filtered_pd,-8.0142,1.9894
0.043716,avc,-8.0328,1.9936
0.044121,standard_pd,-7.8445,1.9978
0.044121,filtered_pd,-7.8781,2.0021
0.044121,avc,-7.8959,2.0065
0.044530,standard_pd,-7.7093,2.0097
0.044530,filtered_pd,-7.7428,2.0144
0.044530,avc,-7.7598,2.0191
0.044942,standard_pd,-7.5749,2.0211
0.044942,filtered_pd,-7.6083,2.0263
0.044942,avc,-7.6245,2.0312
0.045358,standard_pd,-7.4413,2.0320
0.045358,filtered_pd,-7.4746,2.0378
0.045358,avc,-7.4899,2.0428
0.045778,standard_pd,-7.3086,2.0425
0.045778,filtered_pd,-7.3417,2.0487
0.045778,avc,-7.3563,2.0540
0.046202,standard_pd,-7.1767,2.0524
0.046202,filtered_pd,-7.2097,2.0592
0.046202,avc,-7.2234,2.0647
0.046630,standard_pd,-7.0458,2.0618
0.046630,filtered_pd,-7.0785,2.0692
0.046630,avc,-7.0915,2.0749
0.047062,standard_pd,-6.9158,2.0706
0.047062,filtered_pd,-6.9483,2.0786
0.047062,avc,-6.9605,2.0845
0.047498,standard_pd,-6.7867,2.0789
0.047498,filtered_pd,-6.8189,2.0875
0.047498,avc,-6.8303,2.0936
0.047938,standard_pd,-6.6586,2.0865
0.047938,filtered_pd,-6.6905,2.0958
0.047938,avc,-6.7011,2.1021
0.048382,standard_pd,-6.5315,2.0935
0.048382,filtered_pd,-6.5631,2.1035
0.048382,avc,-6.5729,2.1099
0.048830,standard_pd,-6.4053,2.0999
0.048830,filtered_pd,-6.4366,2.1106
0.048830,avc,-6.4457,2.1172
0.049282,standard_pd,-6.2802,2.1056
0.049282,filtered_pd,-6.3112,2.1170
0.049282,avc,-6.3195,2.1238
0.049739,standard_pd,-6.1562,2.1106
0.049739,filtered_pd,-6.1867,2.1228
0.049739,avc,-6.1943,2.1297
0.050200,standard_pd,-6.0333,2.1149
0.050200,filtered_pd,-6.0633,2.1279
0.050200,avc,-6.0701,2.1350
0.050665,standard_pd,-5.9114,2.1184
0.050665,filtered_pd,-5.9410,2.1323
0.050665,avc,-5.9471,2.1395
0.051134,standard_pd,-5.7907,2.1212
0.051134,filtered_pd,-5.8198,2.1360
0.051134,avc,-5.8251,2.1433
0.051607,standard_pd,-5.6710,2.1232
0.051607,filtered_pd,-5.6996,2.1389
0.051607,avc,-5.7043,2.1463
0.052085,standard_pd,-5.5526,2.1245
0.052085,filtered_pd,-5.5806,2.1410
0.052085,avc,-5.5846,2.1486
0.052568,standard_pd,-5.4353,2.1248
0.052568,filtered_pd,-5.4627,2.1424
0.052568,avc,-5.4660,2.1500
0.053055,standard_pd,-5.3193,2.1244
0.053055,filtered_pd,-5.3460,2.1430
0.053055,avc,-5.3487,2.1506
0.053546,standard_pd,-5.2044,2.1230
0.053546,filtered_pd,-5.2305,2.1427
0.053546,avc,-5.2325,2.1504
0.054042,standard_pd,-5.0909,2.1208
0.054042,filtered_pd,-5.1162,2.1415
0.054042,avc,-5.1176,2.1493
0.054543,standard_pd,-4.9785,2.1177
0.054543,filtered_pd,-5.0031,2.1395
0.054543,avc,-5.0039,2.1473
0.055048,standard_pd,-4.8675,2.1136
0.055048,filtered_pd,-4.8912,2.1366
0.055048,avc,-4.8915,2.1444
0.055558,standard_pd,-4.7577,2.1086
0.055558,filtered_pd,-4.7806,2.1328
0.055558,avc,-4.7803,2.1406
0.056072,standard_pd,-4.6493,2.1026
0.056072,filtered_pd,-4.6713,2.1280
0.056072,avc,-4.6705,2.1358
0.056592,standard_pd,-4.5422,2.0956
0.056592,filtered_pd,-4.5633,2.1223
0.056592,avc,-4.5619,2.1300
0.057116,standard_pd,-4.4365,2.0877
0.057116,filtered_pd,-4.4566,2.1157
0.057116,avc,-4.4548,2.1233
0.057645,standard_pd,-4.3321,2.0787
0.057645,filtered_pd,-4.3513,2.1080
0.057645,avc,-4.3489,2.1155
0.058179,standard_pd,-4.2291,2.0686
0.058179,filtered_pd,-4.2473,2.0993
0.058179,avc,-4.2445,2.1067
0.058718,standard_pd,-4.1275,2.0575
0.058718,filtered_pd,-4.1446,2.0897
0.058718,avc,-4.1414,2.0969
0.059262,standard_pd,-4.0273,2.0453
0.059262,filtered_pd,-4.0433,2.0789
0.059262,avc,-4.0397,2.0860
0.059810,standard_pd,-3.9286,2.0321
0.059810,filtered_pd,-3.9435,2.0672
0.059810,avc,-3.9395,2.0740
0.060364,standard_pd,-3.8313,2.0177
0.060364,filtered_pd,-3.8450,2.0543
0.060364,avc,-3.8406,2.0610
0.060923,standard_pd,-3.7354,2.0022
0.060923,filtered_pd,-3.7479,2.0404
0.060923,avc,-3.7433,2.0468
0.061488,standard_pd,-3.6410,1.9856
0.061488,filtered_pd,-3.6523,2.0254
0.061488,avc,-3.6473,2.0315
0.062057,standard_pd,-3.5481,1.9679
0.062057,filtered_pd,-3.5580,2.0093
0.062057,avc,-3.5529,2.0151
0.062632,standard_pd,-3.4567,1.9490
0.062632,filtered_pd,-3.4653,1.9920
0.062632,avc,-3.4599,1.9975
0.063212,standard_pd,-3.3667,1.9289
0.063212,filtered_pd,-3.3740,1.9737
0.063212,avc,-3.3684,1.9788
0.063798,standard_pd,-3.2783,1.9077
0.063798,filtered_pd,-3.2841,1.9542
0.063798,avc,-3.2783,1.9589
0.064389,standard_pd,-3.1913,1.8853
0.064389,filtered_pd,-3.1957,1.9335
0.064389,avc,-3.1898,1.9379
0.064985,standard_pd,-3.1058,1.8617
0.064985,filtered_pd,-3.1088,1.9117
0.064985,avc,-3.1028,1.9157
0.065587,standard_pd,-3.0219,1.8369
0.065587,filtered_pd,-3.0234,1.8888
0.065587,avc,-3.0173,1.8922
0.066194,standard_pd,-2.9395,1.8109
0.066194,filtered_pd,-2.9394,1.8646
0.066194,avc,-2.9333,1.8676
0.066807,standard_pd,-2.8586,1.7838
0.066807,filtered_pd,-2.8570,1.8393
0.066807,avc,-2.8508,1.8418
0.067426,standard_pd,-2.7791,1.7554
0.067426,filtered_pd,-2.7760,1.8129
0.067426,avc,-2.7699,1.8148
0.068051,standard_pd,-2.7013,1.7258
0.068051,filtered_pd,-2.6965,1.7852
0.068051,avc,-2.6904,1.7866
0.068681,standard_pd,-2.6249,1.6950
0.068681,filtered_pd,-2.6185,1.7564
0.068681,avc,-2.6125,1.7571
0.069317,standard_pd,-2.5500,1.6630
0.069317,filtered_pd,-2.5420,1.7263
0.069317,avc,-2.5361,1.7265
0.069959,standard_pd,-2.4767,1.6299
0.069959,filtered_pd,-2.4669,1.6952
0.069959,avc,-2.4612,1.6947
0.070607,standard_pd,-2.4048,1.5955
0.070607,filtered_pd,-2.3934,1.6628
0.070607,avc,-2.3878,1.6616
0.071261,standard_pd,-2.3344,1.5599
0.071261,filtered_pd,-2.3213,1.6292
0.071261,avc,-2.3159,1.6273
0.071921,standard_pd,-2.2656,1.5231
0.071921,filtered_pd,-2.2507,1.5945
0.071921,avc,-2.2455,1.5919
0.072587,standard_pd,-2.1982,1.4851
0.072587,filtered_pd,-2.1815,1.5586
0.072587,avc,-2.1766,1.5552
0.073260,standard_pd,-2.1323,1.4460
0.073260,filtered_pd,-2.1138,1.5215
0.073260,avc,-2.1092,1.5174
