frequency_hz,method,psd_n2m2_per_hz
18.945313,unshaped,1.475893e-03
18.994141,unshaped,1.465142e-03
19.042969,unshaped,1.473921e-03
19.091797,unshaped,1.468003e-03
19.140625,unshaped,1.446053e-03
19.189453,unshaped,1.442306e-03
19.238281,unshaped,1.450560e-03
19.287109,unshaped,1.438257e-03
19.335938,unshaped,1.418677e-03
19.384766,unshaped,1.421171e-03
19.433594,unshaped,1.426151e-03
19.482422,unshaped,1.408801e-03
19.531250,unshaped,1.394006e-03
19.580078,unshaped,1.400872e-03
19.628906,unshaped,1.400574e-03
19.677734,unshaped,1.380458e-03
19.726563,unshaped,1.371910e-03
19.775391,unshaped,1.380558e-03
19.824219,unshaped,1.374075e-03
19.873047,unshaped,1.353948e-03
19.921875,unshaped,1.351923e-03
19.970703,unshaped,1.359548e-03
20.019531,unshaped,1.347202e-03
20.068359,unshaped,1.329764e-03
20.117188,unshaped,1.333335e-03
20.166016,unshaped,1.337449e-03
20.214844,unshaped,1.320689e-03
20.263672,unshaped,1.308073e-03
20.312500,unshaped,1.315324e-03
20.361328,unshaped,1.314214e-03
20.410156,unshaped,1.295306e-03
20.458984,unshaped,1.288695e-03
20.507813,unshaped,1.297112e-03
20.556641,unshaped,1.290134e-03
20.605469,unshaped,1.271704e-03
20.654297,unshaped,1.271146e-03
20.703125,unshaped,1.278105e-03
20.751953,unshaped,1.265771e-03
20.800781,unshaped,1.250299e-03
20.849609,unshaped,1.254727e-03
20.898438,unshaped,1.257991e-03
20.947266,unshaped,1.241836e-03
20.996094,unshaped,1.231191e-03
21.044922,unshaped,1.238665e-03
21.093750,unshaped,1.236787e-03
21.142578,unshaped,1.219048e-03
21.191406,unshaped,1.214157e-03
21.240234,unshaped,1.222250e-03
21.289063,unshaped,1.214826e-03
21.337891,unshaped,1.197992e-03
21.386719,unshaped,1.198697e-03
21.435547,unshaped,1.204964e-03
21.484375,unshaped,1.192673e-03
21.533203,unshaped,1.179012e-03
21.582031,unshaped,1.184131e-03
21.630859,unshaped,1.186569e-03
21.679688,unshaped,1.171016e-03
21.728516,unshaped,1.162151e-03
21.777344,unshaped,1.169730e-03
21.826172,unshaped,1.167143e-03
21.875000,unshaped,1.150521e-03
21.923828,unshaped,1.147145e-03
21.972656,unshaped,1.154849e-03
22.021484,unshaped,1.147046e-03
22.070313,unshaped,1.131711e-03
22.119141,unshaped,1.133485e-03
22.167969,unshaped,1.139045e-03
22.216797,unshaped,1.126850e-03
22.265625,unshaped,1.114862e-03
22.314453,unshaped,1.120509e-03
22.363281,unshaped,1.122147e-03
22.412109,unshaped,1.107211e-03
22.460938,unshaped,1.099963e-03
22.509766,unshaped,1.107533e-03
22.558594,unshaped,1.104284e-03
22.607422,unshaped,1.088748e-03
22.656250,unshaped,1.086718e-03
22.705078,unshaped,1.093975e-03
22.753906,unshaped,1.085842e-03
22.802734,unshaped,1.071922e-03
22.851563,unshaped,1.074609e-03
22.900391,unshaped,1.079457e-03
22.949219,unshaped,1.067389e-03
22.998047,unshaped,1.056950e-03
23.046875,unshaped,1.062998e-03
23.095703,unshaped,1.063873e-03
23.144531,unshaped,1.049553e-03
23.193359,unshaped,1.043770e-03
23.242188,unshaped,1.051245e-03
23.291016,unshaped,1.047393e-03
23.339844,unshaped,1.032905e-03
23.388672,unshaped,1.032057e-03
23.437500,unshaped,1.038826e-03
23.486328,unshaped,1.030427e-03
23.535156,unshaped,1.017844e-03
23.583984,unshaped,1.021292e-03
23.632813,unshaped,1.025429e-03
23.681641,unshaped,1.013534e-03
23.730469,unshaped,1.004532e-03
23.779297,unshaped,1.010859e-03
23.828125,unshaped,1.011002e-03
23.876953,unshaped,9.973135e-04
23.925781,unshaped,9.928619e-04
23.974609,unshaped,1.000162e-03
24.023438,unshaped,9.957557e-04
24.072266,unshaped,9.822862e-04
24.121094,unshaped,9.824866e-04
24.169922,unshaped,9.887330e-04
24.218750,unshaped,9.801142e-04
24.267578,unshaped,9.687983e-04
24.316406,unshaped,9.728859e-04
24.365234,unshaped,9.763192e-04
24.414063,unshaped,9.646279e-04
24.462891,unshaped,9.569575e-04
24.511719,unshaped,9.634683e-04
24.560547,unshaped,9.629195e-04
24.609375,unshaped,9.498636e-04
24.658203,unshaped,9.466178e-04
24.707031,unshaped,9.536812e-04
24.755859,unshaped,9.487783e-04
24.804688,unshaped,9.362956e-04
24.853516,unshaped,9.374117e-04
24.902344,unshaped,9.431127e-04
24.951172,unshaped,9.343313e-04
25.000000,unshaped,9.242164e-04
25.048828,unshaped,9.288228e-04
25.097656,unshaped,9.315641e-04
25.146484,unshaped,9.201166e-04
25.195313,unshaped,9.136849e-04
25.244141,unshaped,9.202851e-04
25.292969,unshaped,9.190808e-04
25.341797,unshaped,9.066686e-04
25.390625,unshaped,9.045196e-04
25.439453,unshaped,9.112888e-04
25.488281,unshaped,9.059365e-04
25.537109,unshaped,8.944155e-04
25.585938,unshaped,8.963369e-04
25.634766,unshaped,9.014737e-04
25.683594,unshaped,8.925742e-04
25.732422,unshaped,8.835994e-04
25.781250,unshaped,8.886267e-04
25.830078,unshaped,8.906927e-04
25.878906,unshaped,8.795171e-04
25.927734,unshaped,8.742344e-04
25.976563,unshaped,8.808499e-04
26.025391,unshaped,8.790327e-04
26.074219,unshaped,8.672662e-04
26.123047,unshaped,8.661073e-04
26.171875,unshaped,8.725393e-04
26.220703,unshaped,8.667923e-04
26.269531,unshaped,8.562045e-04
26.318359,unshaped,8.588221e-04
26.367188,unshaped,8.633845e-04
26.416016,unshaped,8.544185e-04
26.464844,unshaped,8.465263e-04
26.513672,unshaped,8.518775e-04
26.562500,unshaped,8.532865e-04
26.611328,unshaped,8.424177e-04
26.660156,unshaped,8.382037e-04
26.708984,unshaped,8.447622e-04
26.757813,unshaped,8.423700e-04
26.806641,unshaped,8.312570e-04
26.855469,unshaped,8.309958e-04
26.904297,unshaped,8.370503e-04
26.953125,unshaped,8.309545e-04
27.001953,unshaped,8.212757e-04
27.050781,unshaped,8.244976e-04
27.099609,unshaped,8.284789e-04
27.148438,unshaped,8.194875e-04
27.197266,unshaped,8.126230e-04
27.246094,unshaped,8.182188e-04
27.294922,unshaped,8.189937e-04
27.343750,unshaped,8.084565e-04
27.392578,unshaped,8.052326e-04
27.441406,unshaped,8.116767e-04
27.490234,unshaped,8.087532e-04
27.539063,unshaped,7.982945e-04
27.587891,unshaped,7.988394e-04
27.636719,unshaped,8.044868e-04
27.685547,unshaped,7.980939e-04
27.734375,unshaped,7.892979e-04
27.783203,unshaped,7.930324e-04
27.832031,unshaped,7.964316e-04
27.880859,unshaped,7.874612e-04
27.929688,unshaped,7.815727e-04
27.978516,unshaped,7.873343e-04
28.027344,unshaped,7.874983e-04
28.076172,unshaped,7.773223e-04
28.125000,unshaped,7.750179e-04
28.173828,unshaped,7.812919e-04
28.222656,unshaped,7.778758e-04
28.271484,unshaped,7.680758e-04
28.320313,unshaped,7.693471e-04
28.369141,unshaped,7.745604e-04
28.417969,unshaped,7.679142e-04
28.466797,unshaped,7.599768e-04
28.515625,unshaped,7.641464e-04
28.564453,unshaped,7.669658e-04
28.613281,unshaped,7.580541e-04
28.662109,unshaped,7.530910e-04
28.710938,unshaped,7.589533e-04
28.759766,unshaped,7.585336e-04
28.808594,unshaped,7.487405e-04
28.857422,unshaped,7.472852e-04
28.906250,unshaped,7.533447e-04
28.955078,unshaped,7.494796e-04
29.003906,unshaped,7.403375e-04
29.052734,unshaped,7.422554e-04
29.101563,unshaped,7.470154e-04
29.150391,unshaped,7.401643e-04
29.199219,unshaped,7.330602e-04
29.248047,unshaped,7.375871e-04
29.296875,unshaped,7.398327e-04
29.345703,unshaped,7.310211e-04
29.394531,unshaped,7.269360e-04
29.443359,unshaped,7.328345e-04
29.492188,unshaped,7.318577e-04
29.541016,unshaped,7.224719e-04
29.589844,unshaped,7.218026e-04
29.638672,unshaped,7.276050e-04
29.687500,unshaped,7.233297e-04
29.736328,unshaped,7.148466e-04
29.785156,unshaped,7.173412e-04
29.833984,unshaped,7.216314e-04
29.882813,unshaped,7.146169e-04
29.931641,unshaped,7.083214e-04
29.980469,unshaped,7.131394e-04
30.029297,unshaped,7.148203e-04
30.078125,unshaped,7.061430e-04
30.126953,unshaped,7.028883e-04
30.175781,unshaped,7.087695e-04
30.224609,unshaped,7.072657e-04
30.273438,unshaped,6.983055e-04
30.322266,unshaped,6.983584e-04
30.371094,unshaped,7.038698e-04
30.419922,unshaped,6.992273e-04
30.468750,unshaped,6.914002e-04
30.517578,unshaped,6.944012e-04
30.566406,unshaped,6.982108e-04
30.615234,unshaped,6.910778e-04
30.664063,unshaped,6.855660e-04
30.712891,unshaped,6.906085e-04
30.761719,unshaped,6.917362e-04
30.810547,unshaped,6.832298e-04
30.859375,unshaped,6.807610e-04
30.908203,unshaped,6.865722e-04
30.957031,unshaped,6.845701e-04
31.005859,unshaped,6.760556e-04
31.054688,unshaped,6.767731e-04
31.103516,unshaped,6.819613e-04
31.152344,unshaped,6.769900e-04
31.201172,unshaped,6.698170e-04
31.250000,unshaped,6.732623e-04
31.298828,unshaped,6.765830e-04
31.347656,unshaped,6.693707e-04
31.396484,unshaped,6.646171e-04
31.445313,unshaped,6.698270e-04
31.494141,unshaped,6.704160e-04
31.542969,unshaped,6.621111e-04
31.591797,unshaped,6.603829e-04
31.640625,unshaped,6.660799e-04
31.689453,unshaped,6.636120e-04
31.738281,unshaped,6.555577e-04
31.787109,unshaped,6.568814e-04
31.835938,unshaped,6.617213e-04
31.884766,unshaped,6.564630e-04
31.933594,unshaped,6.499388e-04
31.982422,unshaped,6.537660e-04
32.031250,unshaped,6.565937e-04
