frequency_hz,controller,L_real,L_imag
0.039137,standard_pd,-2.025661e+01,-8.918988e+00
0.039137,filtered_pd,-2.032204e+01,-1.337813e+01
0.039500,standard_pd,-1.988618e+01,-8.836989e+00
0.039500,filtered_pd,-1.995161e+01,-1.325513e+01
0.039866,standard_pd,-1.952252e+01,-8.755742e+00
0.039866,filtered_pd,-1.958795e+01,-1.313325e+01
0.040235,standard_pd,-1.916551e+01,-8.675238e+00
0.040235,filtered_pd,-1.923094e+01,-1.301250e+01
0.040608,standard_pd,-1.881501e+01,-8.595472e+00
0.040608,filtered_pd,-1.888044e+01,-1.289284e+01
0.040984,standard_pd,-1.847092e+01,-8.516437e+00
0.040984,filtered_pd,-1.853635e+01,-1.277429e+01
0.041363,standard_pd,-1.813312e+01,-8.438125e+00
0.041363,filtered_pd,-1.819855e+01,-1.265682e+01
0.041747,standard_pd,-1.780149e+01,-8.360531e+00
0.041747,filtered_pd,-1.786691e+01,-1.254042e+01
0.042133,standard_pd,-1.747592e+01,-8.283647e+00
0.042133,filtered_pd,-1.754134e+01,-1.242509e+01
0.042523,standard_pd,-1.715629e+01,-8.207467e+00
0.042523,filtered_pd,-1.722171e+01,-1.231082e+01
0.042917,standard_pd,-1.684251e+01,-8.131985e+00
0.042917,filtered_pd,-1.690793e+01,-1.219759e+01
0.043315,standard_pd,-1.653446e+01,-8.057194e+00
0.043315,filtered_pd,-1.659987e+01,-1.208540e+01
0.043716,standard_pd,-1.623203e+01,-7.983088e+00
0.043716,filtered_pd,-1.629745e+01,-1.197424e+01
0.044121,standard_pd,-1.593513e+01,-7.909661e+00
0.044121,filtered_pd,-1.600055e+01,-1.186409e+01
0.044530,standard_pd,-1.564366e+01,-7.836905e+00
0.044530,filtered_pd,-1.570907e+01,-1.175496e+01
0.044942,standard_pd,-1.535751e+01,-7.764816e+00
0.044942,filtered_pd,-1.542292e+01,-1.164682e+01
0.045358,standard_pd,-1.507659e+01,-7.693387e+00
0.045358,filtered_pd,-1.514200e+01,-1.153967e+01
0.045778,standard_pd,-1.480080e+01,-7.622611e+00
0.045778,filtered_pd,-1.486620e+01,-1.143350e+01
