frequency_hz,controller,S_mag_db,T_mag_db
0.088094,standard_pd,-12.0337,1.3048
0.088094,filtered_pd,-14.7096,0.7660
0.088910,standard_pd,-11.9043,1.3139
0.088910,filtered_pd,-14.6027,0.7683
0.089733,standard_pd,-11.7755,1.3227
0.089733,filtered_pd,-14.4962,0.7705
0.090564,standard_pd,-11.6472,1.3315
0.090564,filtered_pd,-14.3901,0.7726
0.091403,standard_pd,-11.5195,1.3400
0.091403,filtered_pd,-14.2844,0.7746
0.092250,standard_pd,-11.3924,1.3483
0.092250,filtered_pd,-14.1792,0.7764
0.093104,standard_pd,-11.2658,1.3564
0.093104,filtered_pd,-14.0743,0.7782
0.093966,standard_pd,-11.1398,1.3643
0.093966,filtered_pd,-13.9699,0.7798
0.094837,standard_pd,-11.0144,1.3720
0.094837,filtered_pd,-13.8659,0.7813
0.095715,standard_pd,-10.8896,1.3795
0.095715,filtered_pd,-13.7623,0.7827
0.096602,standard_pd,-10.7654,1.3867
0.096602,filtered_pd,-13.6592,0.7840
0.097496,standard_pd,-10.6418,1.3937
0.097496,filtered_pd,-13.5564,0.7852
0.098400,standard_pd,-10.5189,1.4004
0.098400,filtered_pd,-13.4541,0.7862
0.099311,standard_pd,-10.3965,1.4068
0.099311,filtered_pd,-13.3521,0.7871
0.100231,standard_pd,-10.2748,1.4130
0.100231,filtered_pd,-13.2506,0.7879
0.101159,standard_pd,-10.1538,1.4189
0.101159,filtered_pd,-13.1495,0.7885
0.102096,standard_pd,-10.0334,1.4245
0.102096,filtered_pd,-13.0488,0.7890
0.103042,standard_pd,-9.9136,1.4298
0.103042,filtered_pd,-12.9485,0.7894
0.103996,standard_pd,-9.7946,1.4348
0.103996,filtered_pd,-12.8486,0.7896
0.104959,standard_pd,-9.6762,1.4395
0.104959,filtered_pd,-12.7492,0.7897
0.105931,standard_pd,-9.5585,1.4438
0.105931,filtered_pd,-12.6501,0.7897
0.106913,standard_pd,-9.4415,1.4479
0.106913,filtered_pd,-12.5515,0.7895
0.107903,standard_pd,-9.3252,1.4515
0.107903,filtered_pd,-12.4532,0.7891
0.108902,standard_pd,-9.2096,1.4548
0.108902,filtered_pd,-12.3554,0.7887
0.109911,standard_pd,-9.0947,1.4578
0.109911,filtered_pd,-12.2580,0.7880
0.110929,standard_pd,-8.9806,1.4604
0.110929,filtered_pd,-12.1609,0.7873
0.111956,standard_pd,-8.8672,1.4626
0.111956,filtered_pd,-12.0643,0.7863
0.112993,standard_pd,-8.7545,1.4644
0.112993,filtered_pd,-11.9681,0.7853
0.114040,standard_pd,-8.6426,1.4658
0.114040,filtered_pd,-11.8723,0.7840
0.115096,standard_pd,-8.5314,1.4668
0.115096,filtered_pd,-11.7769,0.7827
0.116162,standard_pd,-8.4210,1.4674
0.116162,filtered_pd,-11.6818,0.7811
0.117238,standard_pd,-8.3114,1.4675
0.117238,filtered_pd,-11.5872,0.7794
0.118324,standard_pd,-8.2025,1.4672
0.118324,filtered_pd,-11.4930,0.7775
0.119420,standard_pd,-8.0944,1.4665
0.119420,filtered_pd,-11.3992,0.7755
0.120526,standard_pd,-7.9871,1.4653
0.120526,filtered_pd,-11.3058,0.7733
0.121642,standard_pd,-7.8807,1.4637
0.121642,filtered_pd,-11.2128,0.7709
0.122769,standard_pd,-7.7750,1.4616
0.122769,filtered_pd,-11.1201,0.7684
0.123906,standard_pd,-7.6701,1.4590
0.123906,filtered_pd,-11.0279,0.7657
0.125054,standard_pd,-7.5661,1.4559
0.125054,filtered_pd,-10.9361,0.7628
0.126212,standard_pd,-7.4628,1.4524
0.126212,filtered_pd,-10.8446,0.7597
0.127381,standard_pd,-7.3604,1.4483
0.127381,filtered_pd,-10.7536,0.7565
0.128561,standard_pd,-7.2589,1.4437
0.128561,filtered_pd,-10.6629,0.7531
0.129752,standard_pd,-7.1582,1.4386
0.129752,filtered_pd,-10.5726,0.7495
0.130954,standard_pd,-7.0583,1.4330
0.130954,filtered_pd,-10.4828,0.7457
0.132166,standard_pd,-6.9593,1.4268
0.132166,filtered_pd,-10.3933,0.7418
0.133391,standard_pd,-6.8611,1.4201
0.133391,filtered_pd,-10.3042,0.7376
0.134626,standard_pd,-6.7638,1.4129
0.134626,filtered_pd,-10.2155,0.7333
0.135873,standard_pd,-6.6674,1.4051
0.135873,filtered_pd,-10.1272,0.7288
0.137131,standard_pd,-6.5718,1.3967
0.137131,filtered_pd,-10.0393,0.7240
0.138402,standard_pd,-6.4771,1.3878
0.138402,filtered_pd,-9.9517,0.7191
0.139684,standard_pd,-6.3833,1.3783
0.139684,filtered_pd,-9.8646,0.7140
0.140977,standard_pd,-6.2904,1.3682
0.140977,filtered_pd,-9.7778,0.7087
0.142283,standard_pd,-6.1983,1.3575
0.142283,filtered_pd,-9.6914,0.7032
0.143601,standard_pd,-6.1072,1.3462
0.143601,filtered_pd,-9.6054,0.6975
0.144931,standard_pd,-6.0169,1.3344
0.144931,filtered_pd,-9.5198,0.6916
0.146273,standard_pd,-5.9276,1.3219
0.146273,filtered_pd,-9.4346,0.6854
0.147628,standard_pd,-5.8391,1.3088
0.147628,filtered_pd,-9.3498,0.6791
0.148996,standard_pd,-5.7516,1.2951
0.148996,filtered_pd,-9.2653,0.6726
0.150376,standard_pd,-5.6649,1.2808
0.150376,filtered_pd,-9.1813,0.6658
0.151768,standard_pd,-5.5792,1.2659
0.151768,filtered_pd,-9.0976,0.6588
0.153174,standard_pd,-5.4943,1.2504
0.153174,filtered_pd,-9.0143,0.6517
0.154593,standard_pd,-5.4104,1.2342
0.154593,filtered_pd,-8.9314,0.6443
0.156025,standard_pd,-5.3274,1.2174
0.156025,filtered_pd,-8.8488,0.6366
0.157470,standard_pd,-5.2453,1.1999
0.157470,filtered_pd,-8.7667,0.6288
0.158928,standard_pd,-5.1641,1.1818
0.158928,filtered_pd,-8.6849,0.6207
0.160400,standard_pd,-5.0838,1.1631
0.160400,filtered_pd,-8.6035,0.6124
0.161886,standard_pd,-5.0044,1.1437
