time_s,method,displacement_m
6.290000,unshaped,-4.098247e-03
6.300000,unshaped,-3.945040e-03
6.310000,unshaped,-3.791784e-03
6.320000,unshaped,-3.638842e-03
6.330000,unshaped,-3.486557e-03
6.340000,unshaped,-3.335245e-03
6.350000,unshaped,-3.185194e-03
6.360000,unshaped,-3.036665e-03
6.370000,unshaped,-2.889889e-03
6.380000,unshaped,-2.745064e-03
6.390000,unshaped,-2.602358e-03
6.400000,unshaped,-2.461906e-03
6.410000,unshaped,-2.323810e-03
6.420000,unshaped,-2.188141e-03
6.430000,unshaped,-2.054935e-03
6.440000,unshaped,-1.924197e-03
6.450000,unshaped,-1.795902e-03
6.460000,unshaped,-1.669993e-03
6.470000,unshaped,-1.546386e-03
6.480000,unshaped,-1.424969e-03
6.490000,unshaped,-1.305604e-03
6.500000,unshaped,-1.188128e-03
6.510000,unshaped,-1.072358e-03
6.520000,unshaped,-9.580914e-04
6.530000,unshaped,-8.451080e-04
6.540000,unshaped,-7.331732e-04
6.550000,unshaped,-6.220403e-04
6.560000,unshaped,-5.114538e-04
6.570000,unshaped,-4.011516e-04
6.580000,unshaped,-2.908679e-04
6.590000,unshaped,-1.803364e-04
6.600000,unshaped,-6.929291e-05
6.610000,unshaped,4.252180e-05
6.620000,unshaped,1.553592e-04
6.630000,unshaped,2.694604e-04
6.640000,unshaped,3.850534e-04
6.650000,unshaped,5.023505e-04
6.660000,unshaped,6.215461e-04
6.670000,unshaped,7.428146e-04
6.680000,unshaped,8.663080e-04
6.690000,unshaped,9.921542e-04
6.700000,unshaped,1.120455e-03
6.710000,unshaped,1.251287e-03
6.720000,unshaped,1.384694e-03
6.730000,unshaped,1.520696e-03
6.740000,unshaped,1.659277e-03
6.750000,unshaped,1.800395e-03
6.760000,unshaped,1.943973e-03
6.770000,unshaped,2.089907e-03
6.780000,unshaped,2.238059e-03
6.790000,unshaped,2.388262e-03
6.800000,unshaped,2.540319e-03
6.810000,unshaped,2.694004e-03
6.820000,unshaped,2.849065e-03
6.830000,unshaped,3.005222e-03
6.840000,unshaped,3.162171e-03
6.850000,unshaped,3.319588e-03
6.860000,unshaped,3.477124e-03
6.870000,unshaped,3.634415e-03
6.880000,unshaped,3.791080e-03
6.890000,unshaped,3.946723e-03
6.900000,unshaped,4.100939e-03
6.910000,unshaped,4.253315e-03
6.920000,unshaped,4.403428e-03
6.930000,unshaped,4.550858e-03
6.940000,unshaped,4.695180e-03
6.950000,unshaped,4.835976e-03
6.960000,unshaped,4.972830e-03
6.970000,unshaped,5.105336e-03
6.980000,unshaped,5.233099e-03
6.990000,unshaped,5.355739e-03
7.000000,unshaped,5.472889e-03
7.010000,unshaped,5.584204e-03
7.020000,unshaped,5.689358e-03
7.030000,unshaped,5.788050e-03
7.040000,unshaped,5.880001e-03
7.050000,unshaped,5.964962e-03
7.060000,unshaped,6.042712e-03
7.070000,unshaped,6.113058e-03
7.080000,unshaped,6.175840e-03
7.090000,unshaped,6.230929e-03
7.100000,unshaped,6.278229e-03
7.110000,unshaped,6.317677e-03
7.120000,unshaped,6.349244e-03
7.130000,unshaped,6.372934e-03
7.140000,unshaped,6.388783e-03
7.150000,unshaped,6.396862e-03
7.160000,unshaped,6.397273e-03
7.170000,unshaped,6.390147e-03
7.180000,unshaped,6.375647e-03
7.190000,unshaped,6.353965e-03
7.200000,unshaped,6.325318e-03
7.210000,unshaped,6.289948e-03
7.220000,unshaped,6.248122e-03
7.230000,unshaped,6.200127e-03
7.240000,unshaped,6.146268e-03
