frequency_hz,controller,S_mag_db,T_mag_db
0.058179,filtered_pd,-21.7147,0.4826
0.058718,standard_pd,-19.9602,0.6869
0.058718,filtered_pd,-21.5897,0.4869
0.059262,standard_pd,-19.8153,0.6957
0.059262,filtered_pd,-21.4651,0.4912
0.059810,standard_pd,-19.6708,0.7045
0.059810,filtered_pd,-21.3408,0.4955
0.060364,standard_pd,-19.5265,0.7134
0.060364,filtered_pd,-21.2169,0.4997
0.060923,standard_pd,-19.3825,0.7223
0.060923,filtered_pd,-21.0934,0.5040
0.061488,standard_pd,-19.2387,0.7313
0.061488,filtered_pd,-20.9703,0.5082
0.062057,standard_pd,-19.0952,0.7404
0.062057,filtered_pd,-20.8476,0.5124
0.062632,standard_pd,-18.9520,0.7494
0.062632,filtered_pd,-20.7252,0.5166
0.063212,standard_pd,-18.8091,0.7585
0.063212,filtered_pd,-20.6032,0.5208
0.063798,standard_pd,-18.6665,0.7677
0.063798,filtered_pd,-20.4816,0.5249
0.064389,standard_pd,-18.5241,0.7769
0.064389,filtered_pd,-20.3604,0.5290
0.064985,standard_pd,-18.3821,0.7861
0.064985,filtered_pd,-20.2396,0.5331
0.065587,standard_pd,-18.2403,0.7953
0.065587,filtered_pd,-20.1191,0.5372
0.066194,standard_pd,-18.0989,0.8046
0.066194,filtered_pd,-19.9991,0.5412
0.066807,standard_pd,-17.9577,0.8139
0.066807,filtered_pd,-19.8794,0.5452
0.067426,standard_pd,-17.8169,0.8232
0.067426,filtered_pd,-19.7601,0.5492
0.068051,standard_pd,-17.6763,0.8326
0.068051,filtered_pd,-19.6412,0.5531
0.068681,standard_pd,-17.5361,0.8419
0.068681,filtered_pd,-19.5227,0.5570
0.069317,standard_pd,-17.3963,0.8513
0.069317,filtered_pd,-19.4046,0.5609
0.069959,standard_pd,-17.2567,0.8607
0.069959,filtered_pd,-19.2868,0.5647
0.070607,standard_pd,-17.1175,0.8700
0.070607,filtered_pd,-19.1695,0.5685
0.071261,standard_pd,-16.9786,0.8794
0.071261,filtered_pd,-19.0525,0.5723
0.071921,standard_pd,-16.8400,0.8888
0.071921,filtered_pd,-18.9359,0.5760
0.072587,standard_pd,-16.7019,0.8982
0.072587,filtered_pd,-18.8197,0.5797
0.073260,standard_pd,-16.5640,0.9076
0.073260,filtered_pd,-18.7039,0.5833
0.073938,standard_pd,-16.4265,0.9169
0.073938,filtered_pd,-18.5885,0.5869
0.074623,standard_pd,-16.2894,0.9263
0.074623,filtered_pd,-18.4735,0.5904
0.075314,standard_pd,-16.1526,0.9356
0.075314,filtered_pd,-18.3588,0.5939
0.076012,standard_pd,-16.0162,0.9449
0.076012,filtered_pd,-18.2445,0.5974
0.076716,standard_pd,-15.8802,0.9542
0.076716,filtered_pd,-18.1307,0.6008
0.077426,standard_pd,-15.7446,0.9635
0.077426,filtered_pd,-18.0172,0.6041
0.078144,standard_pd,-15.6093,0.9727
0.078144,filtered_pd,-17.9041,0.6074
0.078867,standard_pd,-15.4745,0.9819
0.078867,filtered_pd,-17.7913,0.6106
0.079598,standard_pd,-15.3400,0.9910
0.079598,filtered_pd,-17.6790,0.6138
0.080335,standard_pd,-15.2059,1.0001
0.080335,filtered_pd,-17.5670,0.6169
0.081079,standard_pd,-15.0722,1.0092
0.081079,filtered_pd,-17.4554,0.6200
0.081830,standard_pd,-14.9390,1.0182
0.081830,filtered_pd,-17.3442,0.6230
0.082588,standard_pd,-14.8061,1.0271
0.082588,filtered_pd,-17.2334,0.6259
0.083353,standard_pd,-14.6737,1.0359
